OID_;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished;Shape_Length;Shape_Area
17;1842;1845;;1895;Asylveita 1;;Antikvarisk;;TRUE;57,19444513;194,2531854
85;1842;1845;;1901;Drillveita 1;;Antikvarisk;built in 1900 ? not dem? or after 1973. CHECK PIC;TRUE;53,24829001;155,9183475
198;1842;1845;;1890;Kongens gate 64;;Antikvarisk;;TRUE;54,75176179;160,7538851
197;1842;1845;;1890;Kongens gate 66;;Antikvarisk;;TRUE;76,47415834;224,8104981
112;1849;1849;;;Dronningens gate 74;;Antikvarisk;;FALSE;32,89820291;67,4837158
129;1849;1849;;;Dronningens gate 78;;Antikvarisk;;FALSE;51,07461166;151,8042088
16;1842;1852;;1910;Asylveita 3;;;;TRUE;51,86498583;122,9891081
4;1842;1852;;1985;Asylveita 7;;;;TRUE;48,94548062;148,9016855
205;1842;1852;1971;1980;Batteriveita 1;;;;TRUE;60,76033695;211,2313577
81;1842;1852;;;Dronningens gate 37;;Antikvarisk;completely rebuilt in 1962-63;FALSE;39,48488106;89,4817558
110;1842;1852;;1890;Dronningens gate 39;;;;TRUE;46,00268477;99,86862455
173;1842;1852;;1862;Dronningens gate 42;;Antikvarisk;modif;TRUE;58,32668221;220,7292878
172;1842;1852;;1862;Dronningens gate 44;;Antikvarisk;modif;TRUE;79,6938601;364,783816
168;1842;1852;1969;1971;Dronningens gate 46;;NiB;;TRUE;59,09651472;208,8031972
69;1842;1852;;1879;Dronningens gate 58;;Antikvarisk;modif;TRUE;67,73486518;272,5798766
115;1842;1852;1912;1912;Dronningens gate 66;fire;Bybilde;fire 1912;TRUE;74,1007149;350,3162031
199;1842;1852;1912;1912;Dronningens gate 68;fire;Bybilde;fire 1912;TRUE;55,78964549;170,5565722
114;1842;1852;1912;1912;Dronningens gate 70;fire;Bybilde;fire 1912;TRUE;56,87726811;170,5665253
113;1842;1852;1912;1912;Dronningens gate 72;fire;Bybilde;fire 1912;TRUE;76,41058544;274,7212468
128;1842;1852;;1858;Dronningens gate 80;;Antikvarisk;modif;TRUE;52,21731189;156,5839777
124;1842;1852;1973;1987;Dronningens gate 84;;Antikvarisk;;TRUE;66,36927088;213,724861
157;1842;1852;;1900;Dronningens gate 88;;Antikvarisk;;TRUE;52,08996084;176,1538886
141;1842;1852;;2002;Fotveita 1;;;;TRUE;46,82496715;119,7678709
142;1842;1852;;2002;Fotveita 3;;;;TRUE;44,57755422;113,8483237
160;1842;1852;1964;1969;Holstveita 1;;NiB;;TRUE;61,98981989;106,1209997
34;1842;1852;1964;1969;Holstveita 3;;NiB;;TRUE;65,25874389;127,8964359
33;1842;1852;1968;1968;Holstveita 5;fire;antikvarisk;fire 23/06/1968;TRUE;36,42402615;79,55560146
152;1842;1852;;1912;Hospitalsgata 3;;Antikvarisk;;TRUE;62,09780753;218,7661898
204;1842;1852;1972;1980;Hospitalsløkkan 10;;;;TRUE;53,51888733;181,7594971
158;1842;1852;1964;1971;Hospitalsløkkan 4;;NiB;;TRUE;83,21439124;365,0632558
202;1842;1852;1964;1971;Hospitalsløkkan 6;;NiB;;TRUE;78,605127;298,7313312
203;1842;1852;1970;1980;Hospitalsløkkan 8;;;;TRUE;50,85015309;154,1482827
166;1842;1852;1947;1957;Kongens gate 30;;NorgeiBilder;;TRUE;71,89859716;273,8675871
36;1842;1852;1947;1957;Kongens gate 32A;;Antikvarisk;;TRUE;142,2702979;482,747081
188;1842;1852;;2002;Kongens gate 34;;Antikvarisk;;TRUE;82,50819974;416,3609088
189;1842;1852;;1919;Kongens gate 36;;Antikvarisk;;TRUE;78,63487057;338,7230491
190;1842;1852;1899;1899;Kongens gate 38;fire ;Antikvarisk;fire 1899;TRUE;68,10589151;223,9374803
39;1842;1852;1899;1899;Kongens gate 40;fire;Antikvarisk;fire 1899;TRUE;49,99659659;153,6392698
105;1842;1852;;1954;Kongens gate 50/52;;;;TRUE;79,7572829;280,4310814
191;1842;1852;;1965;Kongens gate 54;;;;TRUE;65,76969244;263,8253178
167;1842;1852;;1867;Prinsens gate 30;;;modif;TRUE;86,30742548;478,3341707
19;1842;1852;;1865;Prinsens gate 32;;;modif;TRUE;92,55231799;340,0314887
8;1842;1852;;1873;Prinsens gate 42;;;modif;TRUE;79,194728;190,148686
185;1842;1852;;1882;Sandgata 12;;;modif;TRUE;94,16589796;319,988555
116;1842;1852;;1860;Sandgata 29;fire;Antikvarisk;fire 1912, a part burnt down/modif;TRUE;62,69731833;232,8728847
200;1842;1852;1912;1912;Sandgata 31;fire;Bybilde;fire 1912;TRUE;53,20520836;147,0362501
130;1842;1852;;1900;Sandgata 37;;Antikvarisk;;TRUE;64,20892364;207,5471745
176;1842;1852;1927;1927;Sandgata 4;;;fire 1927;TRUE;80,36860762;279,809783
122;1842;1852;;1900;Sandgata 43;;Antikvarisk;;TRUE;66,98539209;190,2045821
155;1842;1852;;1880;Sandgata 43;;Antikvarisk;modif;TRUE;42,29134896;105,016574
159;1842;1852;1964;1971;Sandgata 47;;NiB;;TRUE;53,77981808;181,8761716
201;1842;1852;1971;1980;Sandgata 49;;NiB;;TRUE;47,85236435;134,8514582
207;1842;1852;1971;1980;Sandgata 51;;;;TRUE;50,93689024;160,0799389
177;1842;1852;;1871;Sandgata 6;;;modif;TRUE;93,21018129;437,0501388
3;1842;1852;;1985;Sandgata 7;;Antikvarisk;;TRUE;49,92676274;155,6328861
178;1842;1852;;1875;Sandgata 8;;;modif;TRUE;90,21002506;299,7478326
53;1842;1852;;1880;St Olavs gate 14;;Antikvarisk;"ext:""""new in old style""""/ modif";TRUE;48,42264065;144,6814239
71;1842;1852;1973;1979;Tordenskiolds gate 11;;Antikvarisk;;TRUE;84,60072865;377,565219
82;1842;1852;;1990;Tordenskiolds gate 12;;;;TRUE;35,67838722;76,71481275
72;1842;1852;;1932;Tordenskiolds gate 15;;Antikvarisk;;TRUE;41,54501617;100,5458715
76;1842;1852;;1890;Tordenskiolds gate 17;;Antikvarisk;;TRUE;43,19099884;114,681856
104;1842;1852;;1954;Tordenskiolds gate 2;;;;TRUE;47,99320175;137,8595089
97;1842;1852;1973;1979;Tordenskiolds gate 9;;Antikvarisk;;TRUE;55,83917572;138,6987135
194;1842;1852;;1880;Willmannsveita 1;;Antikvarisk;modif;TRUE;53,75382315;164,2841448
134;1842;1852;;1913;Willmannsveita 3;;Antikvarisk;;TRUE;53,8072271;170,8961175
10;1842;1852;;;;;;;;44,49033922;114,0237837
20;1842;1852;;1965;;;;;TRUE;123,3617155;313,0378207
162;1842;1852;;;;;;;FALSE;52,00688713;98,79312776
163;1842;1852;2012;2022;;;;;TRUE;34,83869323;58,43181745
164;1842;1852;1947;1957;;;NorgeiBilder;;TRUE;67,92476644;222,5534552
165;1842;1852;1947;1957;;;NorgeiBilder;;TRUE;129,0181025;535,0087786
196;1842;1852;1964;1969;;;;;TRUE;45,87228211;95,13743992
206;1842;1852;1971;1980;;;;;TRUE;44,96217638;124,7752919
174;1850;1852;;;Prinsens gate 44;;;;FALSE;137,4949325;1067,539999
192;1842;1852;;1965;Kongens gate 56;;;;TRUE;52,21749996;141,2389276
193;1842;1852;;1965;Kongens gate 58;;;;TRUE;57,28507025;200,9087597
139;1842;1852;;1965;Kongens gate 60;;;;TRUE;90,40218829;270,9650518
195;1842;1852;;1965;Kongens gate 62;;;;TRUE;53,47178533;176,0809665
144;1842;1852;;1885;Kongens gate 68;;;;TRUE;70,69595403;286,7612521
83;1842;1852;1899;1899;Lilleplassveita 1;fire;;fire 1899;TRUE;44,69259425;123,9521982
161;1842;1852;1947;1957;Prinsens gate 28;;NorgeiBilder;;TRUE;74,03042135;306,8553194
18;1842;1852;;1984;Prinsens gate 34;;;;TRUE;56,90374881;104,8741284
171;1842;1852;;1891;Prinsens gate 34;;;;TRUE;58,78559317;162,3193488
170;1842;1852;;1903;Prinsens gate 36;;;;TRUE;43,06864201;113,1005686
169;1842;1852;;2015;Prinsens gate 38;;;;TRUE;48,1005884;137,8380454
9;1842;1852;;;Prinsens gate 40;;;;FALSE;73,78101914;242,5296891
1;1842;1852;1976;1978;Sandgata 11;;Antikvarisk;"1976; severe fire damage";TRUE;130,6340315;302,8157863
184;1842;1852;;2003;Sandgata 14;;;;TRUE;88,43516236;407,1206079
183;1842;1852;;1996;Sandgata 16;;;;TRUE;105,6188411;593,3952023
182;1842;1852;;1996;Sandgata 18;;;;TRUE;65,32034322;263,6271202
175;1842;1852;1927;1927;Sandgata 2;;;fire 1927;TRUE;81,00169867;324,6692369
179;1842;1852;;1899;Sandgata 20;;;TWO CYCLES;TRUE;110,0828098;718,6599364
181;1842;1852;;;Sandgata 22;;;;;64,19036554;247,6214525
180;1842;1852;;1900;Sandgata 24;;;;TRUE;82,90508124;340,6261178
187;1842;1852;;1985;Sandgata 28;;;;TRUE;78,22319224;279,7533838
186;1842;1852;;;Sandgata 30;;;;;92,85010337;475,5610603
