OID_;Shape_Length;Shape_Area;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished
36;59,3559209;104,3347418;1840;1840;;;;;;;FALSE
96;57,46886737;191,332902;1840;1840;;;;;;;FALSE
1;46,41732342;89,86234706;1842;1842;;;;;;;FALSE
2;60,39531114;125,7760711;1842;1842;;;;;;;FALSE
3;47,45445644;127,4856533;1842;1842;;;;;;;FALSE
4;118,5626671;358,2725394;1842;1842;;;;;;;FALSE
5;67,60042892;147,5751808;1842;1842;;;;;;;FALSE
7;47,73377193;140,3550217;1842;1842;;;;;;;FALSE
8;72,17358323;158,5954192;1842;1842;;;;;;;FALSE
9;118,9145778;353,6038286;1842;1842;;;;;;;FALSE
10;43,14927379;113,1555712;1842;1842;;;;;;;FALSE
11;45,66429273;127,5983715;1842;1842;;;;;;;FALSE
13;66,93358028;117,6710065;1842;1842;;;;;;;FALSE
14;56,17237944;104,3216609;1842;1842;;;;;;;FALSE
15;60,55174867;123,2491921;1842;1842;;;;;;;FALSE
16;80,16309569;231,1193393;1842;1842;;;;;;;FALSE
17;73,69989186;162,8531072;1842;1842;;;;;;;FALSE
18;52,15251376;123,7446738;1842;1842;;;;;;;FALSE
19;77,37862267;328,1656814;1842;1842;;;;;;;FALSE
20;41,5767291;110,8373923;1842;1842;;;;;;;FALSE
21;69,6268705;144,867428;1842;1842;;;;;;;FALSE
22;30,73304178;57,74416707;1842;1842;;;;;;;FALSE
23;36,18456646;72,66046429;1842;1842;;;;;;;FALSE
24;59,15512345;109,1727261;1842;1842;;;;;;;FALSE
26;37,89487519;79,30528503;1842;1842;;;;;;;FALSE
27;49,81448337;107,1499475;1842;1842;;;;;;;FALSE
28;57,38146479;166,7835882;1842;1842;;;;;;;FALSE
29;81,71028954;233,0201835;1842;1842;;;;;;;FALSE
30;46,15082707;99,18248118;1842;1842;;;;;;;FALSE
32;68,56557635;153,0103048;1842;1842;;;;;;;FALSE
33;71,40433403;149,9536252;1842;1842;;;;;;;FALSE
34;74,86943619;174,1811115;1842;1842;;;;;;;FALSE
35;56,15660973;83,36414665;1842;1842;;;;;;;FALSE
37;50,5977731;119,9725688;1842;1842;;;;;;;FALSE
38;62,8088067;121,2453169;1842;1842;;;;;;;FALSE
39;45,65138977;88,53146973;1842;1842;;;;;;;FALSE
41;45,18680285;99,06788671;1842;1842;;;;;;;FALSE
42;83,81463279;170,9978203;1842;1842;;;;;;;FALSE
43;45,49387741;104,0110644;1842;1842;;;;;;;FALSE
44;43,62123191;114,9775224;1842;1842;;;;;;;FALSE
45;40,50011091;94,5118902;1842;1842;;;;;;;FALSE
46;66,26287659;118,4009274;1842;1842;;;;;;;FALSE
47;81,42574668;150,9302563;1842;1842;;;;;;;FALSE
48;59,24911559;146,1668362;1842;1842;;;;;;;FALSE
49;95,15391205;198,9530547;1842;1842;;;;;;;FALSE
50;50,09634195;116,1062834;1842;1842;;;;;;;FALSE
51;38,31107801;80,79886076;1842;1842;;;;;;;FALSE
52;70,65777419;154,1372541;1842;1842;;;;;;;FALSE
53;40,37098313;101,5701744;1842;1842;;;;;;;FALSE
54;52,98434298;98,79676772;1842;1842;;;;;;;FALSE
55;58,10683165;122,834795;1842;1842;;;;;;;FALSE
56;56,70590409;121,4992249;1842;1842;;;;;;;FALSE
57;44,84630117;74,6318454;1842;1842;;;;;;;FALSE
58;41,69454799;74,59328287;1842;1842;;;;;;;FALSE
59;34,39455686;57,71798508;1842;1842;;;;;;;FALSE
61;36,00864921;73,47329066;1842;1842;;;;;;;FALSE
62;68,48784191;139,7919492;1842;1842;;;;;;;FALSE
63;45,54055389;130,253143;1842;1842;;;;;;;FALSE
64;61,68407283;168,1174273;1842;1842;;;;;;;FALSE
65;105,8129811;251,0740115;1842;1842;;;;;;;FALSE
66;68,79100571;158,064348;1842;1842;;;;;;;FALSE
67;150,8865471;470,1909372;1842;1842;;;;;;;FALSE
68;109,4957618;281,4641378;1842;1842;;;;;;;FALSE
69;51,1146967;95,55705796;1842;1842;;;;;;;FALSE
70;47,79585998;103,8288793;1842;1842;;;;;;;FALSE
71;60,98300577;153,4590352;1842;1842;;;;;;;FALSE
72;54,98900793;163,4911858;1842;1842;;;;;;;FALSE
73;52,09224947;101,830061;1842;1842;;;;;;;FALSE
74;50,93742504;119,040413;1842;1842;;;;;;;FALSE
75;84,66130285;325,8600608;1842;1842;;;;;;;FALSE
76;54,8805717;180,977665;1842;1842;;;;;;;FALSE
77;75,89762934;166,1812564;1842;1842;;;;;;;FALSE
78;63,57075405;138,7661368;1842;1842;;;;;;;FALSE
79;75,57527061;158,2134741;1842;1842;;;;;;;FALSE
80;74,50042243;182,7391452;1842;1842;;;;;;;FALSE
81;71,88881162;163,7037308;1842;1842;;;;;;;FALSE
82;84,71779468;180,9963442;1842;1842;;;;;;;FALSE
84;62,06516453;142,7298609;1842;1842;;;;;;;FALSE
85;34,07489738;72,2164047;1842;1842;;;;;;;FALSE
86;70,69613055;179,2249307;1842;1842;;;;;;;FALSE
88;52,23454389;151,4111907;1842;1842;;;;;;;FALSE
90;75,2346815;156,5795561;1842;1842;;;;;;;FALSE
91;67,38412557;221,9534191;1842;1842;;;;;;;FALSE
92;45,88666754;101,6101184;1842;1842;;;;;;;FALSE
93;78,19084607;281,0098222;1842;1842;;;;;;;FALSE
94;101,9485167;251,3123995;1842;1842;;;;;;;FALSE
95;90,07963186;270,7170973;1842;1842;;;;;;;FALSE
97;94,08684366;403,9442713;1842;1842;;;;;;;FALSE
98;74,09613706;263,1176904;1842;1842;;;;;;;FALSE
99;69,03551696;169,5147032;1842;1842;;;;;;;FALSE
100;51,59246281;103,1519768;1842;1842;;;;;;;FALSE
101;38,04511851;88,50613467;1842;1842;;;;;;;FALSE
102;72,39696335;173,4540835;1842;1842;;;;;;;FALSE
103;76,44028171;217,2397737;1842;1842;;;;;;;FALSE
104;73,24475749;310,4592847;1842;1842;;;;;;;FALSE
105;77,52197369;159,6475376;1842;1842;;;;;;;FALSE
109;43,37558728;99,51524223;1842;1842;;;;;;;FALSE
40;65,4861084;132,8806205;1843;1843;;;;;;;FALSE
89;76,21228018;150,9685637;1844;1844;;;;;;;FALSE
12;145,2157063;506,7107616;1845;1845;;;;;;;FALSE
25;47,34613851;116,9032554;1845;1845;;;;;;;FALSE
31;62,03728745;140,9163804;1845;1845;;;;;;;FALSE
60;49,74621121;85,05007692;1845;1845;;;;;;;FALSE
83;47,06119343;137,4179004;1845;1845;;;;;;;FALSE
87;53,09426672;119,3232671;1845;1845;;;;;;;FALSE
106;65,66733067;220,8526927;1845;1845;;;;;;;FALSE
107;127,1261436;777,5419421;1845;1845;;;;;;;FALSE
108;74,7451904;163,504156;1845;1845;;;;;;;FALSE
6;100,2482877;289,2531117;1847;1847;;;;;;;FALSE
